iata,type,name_en,iana timezone
EMO,city,Emo,Pacific/Port_Moresby
EMO,airport,Emo,Pacific/Port_Moresby
EMS,city,Embessa,Pacific/Port_Moresby
EMS,airport,Embessa,Pacific/Port_Moresby
EPT,city,Eliptamin,Pacific/Port_Moresby
EPT,airport,Eliptamin,Pacific/Port_Moresby
ERE,city,Erave,Pacific/Port_Moresby
ERE,airport,Erave,Pacific/Port_Moresby
ERU,city,Erume,Pacific/Port_Moresby
ERU,airport,Erume,Pacific/Port_Moresby
FAQ,city,Freida River,Pacific/Port_Moresby
FAQ,airport,Freida River,Pacific/Port_Moresby
FIN,city,Finschhafen,Pacific/Port_Moresby
FIN,airport,Finschhafen,Pacific/Port_Moresby
FRQ,city,Feramin,Pacific/Port_Moresby
FRQ,airport,Feramin,Pacific/Port_Moresby
FUB,city,Fulleborn,Pacific/Port_Moresby
FUB,airport,Fulleborn,Pacific/Port_Moresby
GAP,city,Gusap,Pacific/Port_Moresby
GAP,airport,Gusap,Pacific/Port_Moresby
GAR,city,Garaina,Pacific/Port_Moresby
GAR,airport,Garaina,Pacific/Port_Moresby
GAZ,city,Guasopa,Pacific/Port_Moresby
GAZ,airport,Guasopa,Pacific/Port_Moresby
GBC,city,Gasuke,Pacific/Port_Moresby
GBC,airport,Gasuke,Pacific/Port_Moresby
GBF,city,Negarbo,Pacific/Port_Moresby
GBF,airport,Negarbo,Pacific/Port_Moresby
GEI,city,Green Islands,Pacific/Port_Moresby
GEI,airport,Green Islands,Pacific/Port_Moresby
GEW,city,Gewoia,Pacific/Port_Moresby
GEW,airport,Gewoia,Pacific/Port_Moresby
GIC,city,Boigu Island,Pacific/Port_Moresby
GIC,airport,Boigu Island,Pacific/Port_Moresby
GKA,city,Goroka,Pacific/Port_Moresby
GKA,airport,Goroka,Pacific/Port_Moresby
GLP,city,Gulgubip,Pacific/Port_Moresby
GLP,airport,Gulgubip,Pacific/Port_Moresby
GMI,city,Gasmata Island,Pacific/Port_Moresby
GMI,airport,Gasmata Island,Pacific/Port_Moresby
GOC,city,Gora,Pacific/Port_Moresby
GOC,airport,Gora,Pacific/Port_Moresby
GOE,city,Gonalia,Pacific/Port_Moresby
GOE,airport,Gonalia,Pacific/Port_Moresby
GRH,city,Garuahi,Pacific/Port_Moresby
GRH,airport,Garuahi,Pacific/Port_Moresby
GRL,city,Garasa,Pacific/Port_Moresby
GRL,airport,Garasa,Pacific/Port_Moresby
GUE,city,Guriaso,Pacific/Port_Moresby
GUE,airport,Guriaso,Pacific/Port_Moresby
GUG,city,Guari,Pacific/Port_Moresby
GUG,airport,Guari,Pacific/Port_Moresby
GUR,city,Alotau,Pacific/Port_Moresby
GUR,airport,Gurney,Pacific/Port_Moresby
GUV,city,Mougulu,Pacific/Port_Moresby
GUV,airport,Mougulu,Pacific/Port_Moresby
GVI,city,Green River,Pacific/Port_Moresby
GVI,airport,Green River,Pacific/Port_Moresby
GWN,city,Gnarowein,Pacific/Port_Moresby
GWN,airport,Gnarowein,Pacific/Port_Moresby
HAZ,city,Hatzfeldthaven,Pacific/Port_Moresby
HAZ,airport,Hatzfeldthaven,Pacific/Port_Moresby
HEO,city,Haelogo,Pacific/Port_Moresby
HEO,airport,Haelogo,Pacific/Port_Moresby
HGU,city,Mount Hagen,Pacific/Port_Moresby
HGU,airport,Kagamuga,Pacific/Port_Moresby
HIT,city,Hivaro,Pacific/Port_Moresby
HIT,airport,Haivaro,Pacific/Port_Moresby
HKN,city,Hoskins,Pacific/Port_Moresby
HKN,airport,Hoskins,Pacific/Port_Moresby
HNI,city,Heiweni,Pacific/Port_Moresby
HNI,airport,Heiweni,Pacific/Port_Moresby
HNN,city,Honinabi,Pacific/Port_Moresby
HNN,airport,Honinabi,Pacific/Port_Moresby
HOC,city,Komako,Pacific/Port_Moresby
HOC,airport,Komako,Pacific/Port_Moresby
HWA,city,Hawabango,Pacific/Port_Moresby
HWA,airport,Hawabango,Pacific/Port_Moresby
HYF,city,Hayfields,Pacific/Port_Moresby
HYF,airport,Hayfields,Pacific/Port_Moresby
IAU,city,Iaura,Pacific/Port_Moresby
IAU,airport,Iaura,Pacific/Port_Moresby
IBI,city,Iboki,Pacific/Port_Moresby
IBI,airport,Iboki,Pacific/Port_Moresby
IDN,city,Indagen,Pacific/Port_Moresby
IDN,airport,Indagen,Pacific/Port_Moresby
IHU,city,Ihu,Pacific/Port_Moresby
IHU,airport,Ihu,Pacific/Port_Moresby
IIS,city,Nissan Island,Pacific/Port_Moresby
IIS,airport,Nissan Island,Pacific/Port_Moresby
ILX,city,Ileg,Pacific/Port_Moresby
ILX,airport,Ileg,Pacific/Port_Moresby
IMA,city,Iamalele,Pacific/Port_Moresby
IMA,airport,Iamalele,Pacific/Port_Moresby
IMD,city,Imonda,Pacific/Port_Moresby
IMD,airport,Imonda,Pacific/Port_Moresby
IOK,city,Iokea,Pacific/Port_Moresby
IOK,airport,Iokea,Pacific/Port_Moresby
